Name,Age,Occupation,Function,Hometown,Height,ElimWeek,Season,First_Impression_Rose
"Lucinda ""Lucy"" Aragon",25,Free Spirit,Misc,"Santa Barbara, California",,3,18,0
Amy Long,27,Local News Reporter,Arts/Entertainment,"Clermont, Florida",,2,18,0
Chantel Forrest,27,Account Manager,Sales,"Miami, Florida",,2,18,0
Victoria Lima,24,Legal Assistant,Legal,"Porto Alegre, Brazil",,2,18,0
Alexis Morgado,24,Communications Director/NHL Ice Girl,Arts/Entertainment,"Tampa, Florida",,1,18,0
Amy Jokinen,31,Massage Therapist,Retail/Services/Entrepreneur,"Apopka, Florida",,1,18,0
Ashley Poe,25,Grade School Teacher,Education,"Roanoke, Texas",,1,18,0
Christine Llano,23,Police Support Specialist,Government,"Miami, Florida",,1,18,0
Kylie Lewis,23,Interior Designer,Retail/Services/Entrepreneur,"Rockford, Illinois",,1,18,0
Lacy Faddoul,25,Nursing Home Owner,Medical,"Antelope Acres, California",,1,18,0
Lauren Higginson,25,Mineral Coordinator,Corporate,"Edmond, Oklahoma",,1,18,0
Maggie Gantt,25,Personal Banker,Finance,"Wagener, South Carolina",,1,18,0
Valerie Eredia,26,Personal Trainer,Retail/Services/Entrepreneur,"Sutter, California",,1,18,0
Whitney Bischoff,29,Fertility Nurse,Medical,"Louisville, Kentucky",,11,19,0
Becca Tilley,25,Chiropractic Assistant,Medical,"Shreveport, Louisiana",,10,19,0
Kaitlyn Bristowe,29,Dance Instructor,Retail/Services/Entrepreneur,"Leduc, Alberta",,9,19,0
Jade Roper,28,Cosmetics Developer,Corporate,"Gering, Nebraska",,8,19,0
Carly Waddell,29,Cruise Ship Singer,Arts/Entertainment,"Arlington, Texas",,7,19,0
Britt Nilsson,27,Waitress,Restaurant,"Wolcott Mills, Michigan",,7,19,1
Megan Bell,24,Make-Up Artist,Retail/Services/Entrepreneur,"Nashville, Tennessee",,6,19,0
Kelsey Poe,28,Guidance Counselor,Education,"Hudsonville, Michigan",,6,19,0
Ashley Iaconetti,26,Nanny/Freelance Journalist,Arts/Entertainment,"Great Falls, Virginia",,6,19,0
Mackenzie Deonigi,21,Dental Assistant,Medical,"Maple Valley, Washington",,5,19,0
Samantha Steffen,27,Fashion Designer,Arts/Entertainment,"Indianapolis, Indiana",,5,19,0
Ashley Salter,24,Hair Stylist,Retail/Services/Entrepreneur,"Vinings, Georgia",,4,19,0
Juelia Kinney,30,Esthetician,Medical,"Beaverton, Oregon",,4,19,0
Nikki Delventhal,26,Former NFL Cheerleader,Arts/Entertainment,"Hasbrouck Heights, New Jersey",,4,19,0
Jillian Anderson,25,News Producer,Arts/Entertainment,"Howland, Ohio",,4,19,0
Amber James,29,Bartender,Restaurant,"Kankakee, Illinois",,3,19,0
Tracy Darakis,29,Fourth Grade Teacher,Education,"Wellington, Florida",,3,19,0
Trina Scherenberg,33,Special Education Teacher,Education,"Algonquin, Illinois",,3,19,0
Alissa Giambrone,24,Flight Attendant,Transportation,"Hamilton, New Jersey",,2,19,0
Jordan Branch,24,Student,Student,"Windsor, Colorado",,2,19,0
Kimberly Sherbach,28,Yoga Instructor,Retail/Services/Entrepreneur,"Wantagh, New York",,2,19,0
Tandra Steiner,30,Executive Assistant,Corporate,"Sandy, Utah",,2,19,0
Tara Eddings,26,Sport Fishing Enthusiast,Misc,"Fort Lauderdale, Florida",,2,19,0
Amanda Goerlitz,24,Ballet Teacher,Retail/Services/Entrepreneur,"Lake in the Hills, Illinois",,1,19,0
Bo Stanley,25,Plus-Size Model,Arts/Entertainment,"Carpinteria, California",,1,19,0
Brittany Fetkin,26,WWE Diva-in-Training,Arts/Entertainment,"Temecula, California",,1,19,0
Kara Wilson,25,High School Soccer Coach,Education,"Brownsville, Kentucky",,1,19,0
Michelle Davis,25,Wedding Cake Baker,Retail/Services/Entrepreneur,"Provo, Utah",,1,19,0
Nicole Meacham,31,Real Estate Agent,Real Estate,"Scottsdale, Arizona",,1,19,0
Reegan Cornwell,28,Cadaver Tissue Saleswoman,Sales,"Manhattan Beach, California",,1,19,0
Lauren Bushnell,25,Flight Attendant,Transportation,"West Linn, Oregon",,11,20,0
"Joelle ""JoJo"" Fletcher",24,Real Estate Developer,Real Estate,"Dallas, Texas",,10,20,0
Caila Quinn,24,Software Sales Representative,Sales,"Hudson, Ohio",,9,20,0
Amanda Stanton,25,Esthetician,Medical,"Rancho Santa Margarita, California",,8,20,0
Becca Tilley,26,Chiropractic Assistant,Medical,"Shreveport, Louisiana",,7,20,0
Emily Ferguson,23,Waitress,Restaurant,"Las Vegas, Nevada",,7,20,0
Lauren Himle,25,Kindergarten Teacher,Education,"Dexter, Michigan",,6,20,0
Olivia Caridi,23,Former News Anchor,Arts/Entertainment,"Bristol, Virginia",,6,20,1
Leah Block,25,Event Planner,Retail/Services/Entrepreneur,"Greenwood Village, Colorado",,6,20,0
Jennifer Saviano,25,Small Business Owner,Retail/Services/Entrepreneur,"Lauderdale Lakes, Florida",,5,20,0
Jubilee Sharpe,24,War Veteran,Government,"Fort Lauderdale, Florida",,5,20,0
Amber James,30,Bartender,Restaurant,"Kankakee, Illinois",,4,20,0
Rachel Tchen,23,Unemployed,Misc,"Little Rock, Arkansas",,4,20,0
Haley Ferguson,23,Waitress,Restaurant,"Las Vegas, Nevada",,4,20,0
Jami Letain,23,Bartender,Restaurant,"St. Albert, Alberta",,3,20,0
Shushanna Mkrtychyan,27,Mathematician,Misc,"Salt Lake City, Utah",,3,20,0
Lace Morris,25,Real Estate Agent,Real Estate,"Denver, Colorado",,3,20,0
"Amanda ""Mandi"" Kremer",28,Dentist,Medical,"Portland, Oregon",,2,20,0
"Jacqueline ""Jackie"" Dion",23,Gerontologist,Medical,"Newport Beach, California",,2,20,0
Samantha Passmore,26,Attorney,Legal,"New Smyrna Beach, Florida",,2,20,0
"Lauren ""LB"" Barr",23,Fashion Buyer,Retail/Services/Entrepreneur,"Stillwater, Oklahoma",,2,20,0
Breanne Rice,30,Nutritional Therapist,Medical,"Seattle, Washington",,1,20,0
"Isabel ""Izzy"" Goodkind",24,Graphic Designer,Arts/Entertainment,"Branford, Connecticut",,1,20,0
Jessica Moser,23,Accountant,Finance,"Boca Raton, Florida",,1,20,0
Laura Esselman,24,Account Executive,Sales,"Louisville, Kentucky",,1,20,0
Lauren Russell,26,Math Teacher,Education,"Houston, Texas",,1,20,0
Maegan Miller,30,Cowgirl,Misc,"Visalia, California",,1,20,0
Tiara Soleim,27,Chicken Enthusiast,Misc,"Redmond, Washington",,1,20,0
Alexis,23,Aspiring Dolphin Trainer,Arts/Entertainment,"Secaucus, NJ",66,5,21,0
Angela,26,Model,Arts/Entertainment,"Greenville, SC",67,1,21,0
Astrid,26,Plastic Surgery Office Manager,Corporate,"Tampa, FL",67.5,4,21,0
Briana,28,Surgical Unit Nurse,Medical,"Salt Lake City, UT",64,1,21,0
Brittany,26,Travel Nurse,Medical,"Santa Monica, CA",62,3,21,0
Christen,25,Wedding Videographer,Retail/Services/Entrepreneur,"Tulsa, OK",65,3,21,0
Corinne,24,Business Owner,Retail/Services/Entrepreneur,"Miami, FL",61,8,21,0
Danielle L.,27,Small Business Owner,Retail/Services/Entrepreneur,"Los Angeles, CA",65,6,21,0
Danielle M.,31,Neonatal Nurse,Medical,"Nashville, TN",70,7,21,0
Dominique,25,Restaurant Server,Restaurant,"Los Angeles, CA",64,3,21,0
Liz,29,Doula,Retail/Services/Entrepreneur,"Las Vegas, NV",64,2,21,0
Elizabeth,24,Marketing Manager,Marketing,"Dallas, TX",67,2,21,0
Hailey,23,Photographer,Arts/Entertainment,"Vancouver, British Columbia, Canada",67,2,21,0
Ida Marie,23,Sales Manager,Sales,"Harlingen, TX",68,1,21,0
Jaimi,28,Chef,Restaurant,"New Orleans, LA",62,5,21,0
Jasmine B.,25,Flight Attendant,Transportation,"Tacoma, WA",62.5,1,21,0
Jasmine G.,29,Pro Basketball Dancer,Arts/Entertainment,"San Francisco, CA",67,6,21,0
Josephine,24,Registered Nurse,Medical,"Santa Cruz, CA",67.75,5,21,0
Kristina,24,Dental Hygienist,Medical,"Lexington, KY",62,7,21,0
Lacey,25,Digital Marketing Manager,Marketing,"Manhattan, NY",63,2,21,0
Lauren,30,Law School Graduate,Legal,"Naples, FL",67,1,21,0
Michelle,24,Food Truck Owner,Restaurant,"Los Angeles, CA",61,1,21,0
Olivia,25,Apparel Sales Representative,Sales,"Anchorage, AK",67,1,21,0
Rachel,31,Attorney,Legal,"Dallas, TX",64,9,21,1
Raven,25,Fashion Boutique Owner,Retail/Services/Entrepreneur,"Hoxie, AR",66,10,21,0
Sarah,26,Grade School Teacher,Education,"Newport Beach, CA",65,4,21,0
Susannah,26,Account Manager,Sales,"San Diego, CA",66,1,21,0
Taylor,23,Mental Health Counselor,Medical,"Seattle, WA",64,5,21,0
Vanessa,29,Special Education Teacher,Education,"Montreal, Quebec, Canada",63.5,11,21,0
Whitney,25,Pilates Instructor,Retail/Services/Entrepreneur,"Chanhassen, MN",68,6,21,0
